arrival_times,severity_levels,start_times,departure_times,waiting_times
59.47076674234105,1,59.47076674234105,88.83426146203533,0.0
59.89675961591109,3,59.89675961591109,113.88841503782437,0.0
59.95907518605838,1,59.95907518605838,173.7191756750376,0.0
60.38417204929486,2,60.38417204929486,222.97045731985406,0.0
60.50964854157524,3,60.50964854157524,334.9786374392254,0.0
60.90058121820532,3,60.90058121820532,868.4897802113255,0.0
62.10657151603211,2,62.10657151603211,323.1768938169722,0.0
62.184025866637164,2,62.184025866637164,89.81856764786244,0.0
62.67132509558012,2,62.67132509558012,125.4298337300746,0.0
63.4819352223732,2,63.4819352223732,111.47443113857798,0.0
64.51830925412533,2,64.51830925412533,293.3961436480185,0.0
64.79052307368332,2,64.79052307368332,70.5205897698001,0.0
65.99339433702522,3,65.99339433702522,369.73027463603665,0.0
66.10709055980148,3,66.10709055980148,583.5760282693218,0.0
66.51400393511592,3,66.51400393511592,820.2342479140536,0.0
67.185893249256,1,67.185893249256,97.33046398450267,0.0
67.22921501861529,2,67.22921501861529,356.4929528935038,0.0
70.88309903853765,1,70.88309903853765,79.32465876564962,0.0
73.10769207901211,2,73.10769207901211,387.89667689057563,0.0
79.86907238518066,2,79.86907238518066,102.78085031389656,0.0
80.14881952773166,3,80.14881952773166,262.4220867632828,0.0
81.50688035838014,2,81.50688035838014,349.63578139723046,0.0
83.01319498345191,1,83.01319498345191,94.70756385772188,0.0
83.240210164233,1,83.240210164233,101.98850778025508,0.0
83.87494682539443,3,83.87494682539443,545.0504619775604,0.0
83.94634613566039,2,83.94634613566039,297.8265030302651,0.0
84.00545519052957,1,84.00545519052957,157.79423821962172,0.0
84.10459379013218,1,84.10459379013218,169.3527168444406,0.0
85.89245097800983,3,85.89245097800983,367.5813274084396,0.0
86.26125436918592,1,86.26125436918592,107.14728071586343,0.0
86.3117659112708,3,86.3117659112708,239.01771567684563,0.0
86.40679310068812,3,86.40679310068812,158.55125192663957,0.0
87.52293717969454,1,87.52293717969454,259.66601921099743,0.0
87.95070843886072,1,87.95070843886072,150.99456037269582,0.0
88.32555500118603,3,88.32555500118603,272.7339924136341,0.0
88.44770362454021,2,88.44770362454021,192.59216468649566,0.0
89.08573739511284,2,89.08573739511284,583.4801252106442,0.0
89.2439080063623,3,89.2439080063623,149.17294605262254,0.0
89.32635627455889,3,89.32635627455889,407.00641555363836,0.0
89.38178083888275,3,89.38178083888275,343.1797795244266,0.0
89.69202817914402,3,89.69202817914402,430.0159826602502,0.0
89.95763086245084,2,89.95763086245084,93.02802917074237,0.0
90.21467985125815,1,90.21467985125815,238.29661347418832,0.0
90.29682220082601,3,90.29682220082601,1058.6926954096766,0.0
90.79377259773585,2,90.79377259773585,230.68997054022665,0.0
91.19930793737589,2,91.19930793737589,291.6015923457369,0.0
91.47614130011581,3,91.47614130011581,1012.1651101245413,0.0
91.74057376733377,1,91.74057376733377,180.18519041159507,0.0
92.02399805216557,2,92.02399805216557,119.82976358501801,0.0
92.19774531265483,1,92.19774531265483,154.02430010203915,0.0
92.48941973427148,2,92.48941973427148,249.270523715986,0.0
93.13224913654344,1,93.13224913654344,132.86721341898655,0.0
94.62029017519428,1,94.62029017519428,190.6315920547985,0.0
94.76109051326725,1,94.76109051326725,290.8658262881654,0.0
100.19049158254876,2,100.19049158254876,536.6336953756404,0.0
100.88116440741786,3,100.88116440741786,316.65231107672025,0.0
100.88232418769695,2,100.88232418769695,121.0723465523967,0.0
101.84039840300869,3,101.84039840300869,1609.9430344864631,0.0
101.98202913649452,2,101.98202913649452,408.70267175399295,0.0
103.84415533765542,2,103.84415533765542,126.21267657012207,0.0
103.92108021142846,3,103.92108021142846,1016.9919389582078,0.0
104.33746033459457,2,104.33746033459457,446.96068078070755,0.0
104.87618467364408,3,104.87618467364408,368.2346836223578,0.0
105.54055762298582,1,105.54055762298582,169.95995027467922,0.0
105.77421408709462,3,105.77421408709462,289.0735577143395,0.0
106.33810026960752,1,106.33810026960752,110.39300701512468,0.0
106.46611745887671,3,106.46611745887671,253.44147652714352,0.0
106.83823900474974,2,106.83823900474974,379.6379680638678,0.0
106.95797192064587,3,106.95797192064587,108.62937418452931,0.0
107.31778346482577,1,107.31778346482577,136.5291840193179,0.0
107.43691374761312,2,111.11422372452232,196.42094366010826,3.6773099769092
109.42005282093832,3,109.42005282093832,386.9379415055358,0.0
111.11422372452232,2,111.11422372452232,535.1337037182333,0.0
111.16809002168246,2,111.63612889746835,183.0658835271211,0.46803887578589354
111.63612889746835,2,114.64269978188179,186.228589422909,3.006570884413435
112.26704083894974,2,128.7079816762351,353.40948555605013,16.440940837285368
113.49757978479134,2,128.7079816762351,229.82344762294812,15.210401891443766
114.64269978188179,2,186.32741224270256,229.06366782476044,71.68471246082078
114.69069227488019,3,120.75231321315174,337.5739594205676,6.061620938271545
114.76646667160459,1,225.16072513387135,236.09175951293122,110.39425846226676
115.65012383095342,2,192.0887205237405,224.68987706270076,76.43859669278709
115.72056243055675,3,122.65707574507337,371.01677115408773,6.936513314516617
116.78333499414383,3,126.16672958092462,321.6021674330872,9.383394586780796
119.26192758860454,2,198.10728737653938,611.9404668990119,78.84535978793484
120.75231321315174,2,198.10728737653938,273.71309732721375,77.35497416338764
122.65707574507337,2,202.00631583481825,347.98191631074394,79.34924008974488
125.02407977896284,1,238.47569092270703,310.5038265439921,113.45161114374419
125.07665764209901,2,211.62586122670592,213.84025995741666,86.54920358460691
126.16672958092462,2,211.62586122670592,394.62291832875206,85.4591316457813
128.7079816762351,2,214.60392904297615,247.54178059644985,85.89594736674104
129.23619029783478,1,249.0404945224727,482.7523701260874,119.80430422463792
129.66088564981015,3,132.29355594978807,190.2344415014529,2.6326702999779172
